ds,y_pred,yhat_lower,yhat_upper,y_true,cod_mun
2004-07-01,0.0,0.0,1.2414373180291298e-09,0.0,3515657
2004-08-01,0.0,0.0,1.3527431902232198e-09,0.0,3515657
2004-09-01,0.0,0.0,1.1981523465919995e-09,0.0,3515657
2004-10-01,0.0,0.0,1.1490941416260938e-09,0.0,3515657
2004-11-01,0.0,0.0,1.3543164553144063e-09,0.0,3515657
2004-12-01,0.0,0.0,1.2672750649384892e-09,0.0,3515657
2005-01-01,0.0,0.0,1.3474224440950784e-09,0.0,3515657
2005-02-01,0.0,0.0,1.33521142038949e-09,0.0,3515657
2005-03-01,0.0,0.0,1.2905210491835609e-09,0.0,3515657
2005-04-01,0.0,0.0,1.1861481798850877e-09,0.0,3515657
2005-05-01,0.0,0.0,1.2592731011405171e-09,0.0,3515657
2005-06-01,0.0,0.0,1.2888610852786327e-09,0.0,3515657
2005-07-01,0.0,0.0,1.350124446124687e-09,0.0,3515657
2005-08-01,0.0,0.0,1.2231532052166876e-09,0.0,3515657
2005-09-01,0.0,0.0,1.2605307284840527e-09,0.0,3515657
2005-10-01,0.0,0.0,1.3675053135281352e-09,0.0,3515657
2005-11-01,0.0,0.0,1.3300466031980758e-09,0.0,3515657
2005-12-01,0.0,0.0,1.2961343384720945e-09,0.0,3515657
2006-01-01,0.0,0.0,1.3016477247432095e-09,0.0,3515657
2006-02-01,0.0,0.0,1.2824562266366812e-09,0.0,3515657
2006-03-01,0.0,0.0,1.2335443131457882e-09,0.0,3515657
2006-04-01,0.0,0.0,1.2640038187802188e-09,0.0,3515657
2006-05-01,0.0,0.0,1.229709621249871e-09,0.0,3515657
2006-06-01,0.0,0.0,1.2640882683664619e-09,0.0,3515657
2006-07-01,0.0,0.0,1.3658874431737602e-09,0.0,3515657
2006-08-01,0.0,0.0,1.2531367204662004e-09,0.0,3515657
2006-09-01,0.0,0.0,1.2960397076563487e-09,0.0,3515657
2006-10-01,0.0,0.0,1.338511172083345e-09,0.0,3515657
2006-11-01,0.0,0.0,1.2744460795615508e-09,0.0,3515657
2006-12-01,0.0,0.0,1.2424061438349318e-09,0.0,3515657
