cod_mun,disease,data_projecao,taxa_predita,limite_inferior,limite_superior
3505203,sifilis,2035-06-01,1.3453152453769783,0.5767505442881833,2.0831110805485338
3505302,sifilis,2030-06-01,0.3647659574293461,0.0,0.9118587753705328
3505302,sifilis,2035-06-01,0.4629445168169435,0.0,1.0048998987936446
3505351,sifilis,2030-06-01,0.3408245144890408,0.0,2.131319857855564
3505351,sifilis,2035-06-01,0.3948823390294128,0.0,2.237082978340444
3505401,sifilis,2030-06-01,0.0,0.0,0.0
3505401,sifilis,2035-06-01,0.0,0.0,0.0
3505500,sifilis,2030-06-01,0.2445343796426446,0.0,1.2776732906169128
3505500,sifilis,2035-06-01,0.2010281922509082,0.0,1.2918087299209458
3505609,sifilis,2030-06-01,0.1501244556221469,0.0,1.3471042539581604
3505609,sifilis,2035-06-01,0.1610210804662493,0.0,1.3899186800913828
3505708,sifilis,2030-06-01,1.4264090634643518,0.9535892809131798,1.8648945631090277
3505708,sifilis,2035-06-01,1.8245922865469548,1.3512941991460083,2.2620383727823965
3505807,sifilis,2030-06-01,8.556135318398674,7.192824031452974,9.917127044234988
3505807,sifilis,2035-06-01,12.158438669305076,10.435892208834732,13.929416869642743
3505906,sifilis,2030-06-01,1.4135431977074653,0.5797245698019754,2.247793356992057
3505906,sifilis,2035-06-01,1.6589602844562046,0.7257431271395457,2.482901463358292
3506003,sifilis,2030-06-01,2.704870235250437,2.382184437336534,3.0726870280043004
3506003,sifilis,2035-06-01,3.6624150782570646,3.2483093488183234,4.095197843115217
3506102,sifilis,2030-06-01,1.3244866255621712,0.1898460953839848,2.4422527046690163
3506102,sifilis,2035-06-01,1.6330236974944303,0.4549043555047174,2.770733376221587
3506201,sifilis,2030-06-01,0.0,0.0,2.488752142758861
3506201,sifilis,2035-06-01,0.0,0.0,2.462183006099924
3506300,sifilis,2030-06-01,0.1085189245762199,0.0,0.763886691378045
3506300,sifilis,2035-06-01,0.1289840339341775,0.0,0.8256580128788947
3506359,sifilis,2030-06-01,0.0,0.0,0.8584572884468084
3506359,sifilis,2035-06-01,0.0,0.0,0.5705312711121652
3506409,sifilis,2030-06-01,0.2978256982610949,0.0,1.546146980486556
3506409,sifilis,2035-06-01,0.3534256496849252,0.0,1.7355888139942393
3506508,sifilis,2030-06-01,0.0842720469651017,0.0,0.3324647523521647
3506508,sifilis,2035-06-01,0.0932535161785482,0.0,0.3529837233324843
3506607,sifilis,2030-06-01,0.5547629813137358,0.0,1.4937352828364276
3506607,sifilis,2035-06-01,0.6634333922280019,0.0,1.5634905312107374
3506706,sifilis,2030-06-01,0.0,0.0,1.855744711572376
3506706,sifilis,2035-06-01,0.0,0.0,1.778225086632511
3506805,sifilis,2030-06-01,0.09200081641013,0.0,0.9334874020075724
3506805,sifilis,2035-06-01,0.1007163974348006,0.0,0.9636706961324436
3506904,sifilis,2030-06-01,0.3678864809525563,0.0,2.709728002925341
3506904,sifilis,2035-06-01,0.3790633366032835,0.0,2.730578133718577
3507001,sifilis,2030-06-01,2.158038535267509,1.4906229580491144,2.810395403170113
3507001,sifilis,2035-06-01,2.753405461350774,2.0930766722090457,3.4243364554074502
3507100,sifilis,2030-06-01,0.3481462418544699,0.0,1.469871249824556
3507100,sifilis,2035-06-01,0.5920834961808366,0.0,1.7381076652753735
3507159,sifilis,2030-06-01,0.5287409300793839,0.0,4.411313543934346
3507159,sifilis,2035-06-01,0.5676972657411592,0.0,4.32373391380557
3507209,sifilis,2030-06-01,2.29134502072068,0.0,14.994279610958978
3507209,sifilis,2035-06-01,2.681479814537039,0.0,16.100821658462596
3507308,sifilis,2030-06-01,0.0,0.0,6.243651767775842e-09
3507308,sifilis,2035-06-01,0.0,0.0,1.5679030271760314e-08
3507407,sifilis,2030-06-01,0.0,0.0,1.409663569184271
3507407,sifilis,2035-06-01,0.0,0.0,1.3149430519595793
3507456,sifilis,2030-06-01,0.0,0.0,6.924292447162981e-09
3507456,sifilis,2035-06-01,0.0,0.0,1.5612462550182958e-08
3507506,sifilis,2030-06-01,0.9633643415761204,0.4093476271259311,1.5279870982474175
3507506,sifilis,2035-06-01,1.121297390139796,0.5591477537917657,1.732572102925558
3507605,sifilis,2030-06-01,0.1818427645457435,0.0,0.5182075378543775
3507605,sifilis,2035-06-01,0.1860378132557621,0.0,0.5556271912726466
3507704,sifilis,2030-06-01,0.3437853433297991,0.0,2.28740217504876
3507704,sifilis,2035-06-01,0.3999915929703007,0.0,2.4040610497244925
3507753,sifilis,2030-06-01,0.0,0.0,0.0
3507753,sifilis,2035-06-01,0.0,0.0,0.0
3507803,sifilis,2030-06-01,0.0,0.0,0.5805612949612229
3507803,sifilis,2035-06-01,0.0,0.0,0.3916623723271479
3507902,sifilis,2030-06-01,0.0749138405404015,0.0,0.7887811479872306
3507902,sifilis,2035-06-01,0.0792319106360323,0.0,0.717403983640728
3508009,sifilis,2030-06-01,0.5294877197848145,0.0,1.649437564890948
3508009,sifilis,2035-06-01,0.620813086987442,0.0,1.7477413598873153
3508108,sifilis,2030-06-01,0.5165950599887701,0.0,1.552487593985712
3508108,sifilis,2035-06-01,0.6137595080941769,0.0,1.6387182599058978
3508207,sifilis,2030-06-01,0.0,0.0,2.107797345977983
3508207,sifilis,2035-06-01,0.0,0.0,2.0897874842634687
3508306,sifilis,2030-06-01,0.0,0.0,7.003595328066202e-09
3508306,sifilis,2035-06-01,0.0,0.0,1.5943270338225572e-08
3508405,sifilis,2030-06-01,0.0,0.0,0.1741524761366955
3508405,sifilis,2035-06-01,0.0,0.0,0.1639377696886186
3508504,sifilis,2030-06-01,2.310988488477008,1.5377061252506083,3.022097257038045
3508504,sifilis,2035-06-01,2.8281634973720555,2.1465788728530963,3.598604217076097
3508603,sifilis,2030-06-01,1.1129118409259553,0.0,2.449462255408511
3508603,sifilis,2035-06-01,1.3369873069429876,0.1198173000854793,2.67603588258752
3508702,sifilis,2030-06-01,0.0642793816972373,0.0,0.4760612392511101
3508702,sifilis,2035-06-01,0.0765222034733739,0.0,0.4534578768562242
3508801,sifilis,2030-06-01,5.71375010706702,3.9182345964831984,7.39137718117136
3508801,sifilis,2035-06-01,7.132590737436474,5.444931389962355,8.89541550740006
3508900,sifilis,2030-06-01,0.0,0.0,6.372171070550451e-09
3508900,sifilis,2035-06-01,0.0,0.0,1.4381328820737169e-08
3509007,sifilis,2030-06-01,2.353718682454874,1.75477130216334,3.005426351948031
3509007,sifilis,2035-06-01,3.258224879484588,2.5996511169222427,3.923391124951585
3509106,sifilis,2030-06-01,59.12580210730004,54.66938258430202,63.2305916669194
3509106,sifilis,2035-06-01,85.13568304175092,75.9446451481358,93.92810203162016
3509205,sifilis,2030-06-01,0.0907949047419387,0.0,0.4692692613210798
3509205,sifilis,2035-06-01,0.0959659560118745,0.0,0.5104777833049537
3509254,sifilis,2030-06-01,0.0,0.0,1.0252202013038485
3509254,sifilis,2035-06-01,0.0,0.0,0.964984359972949
3509304,sifilis,2030-06-01,0.2586717314101121,0.0,1.2814398530790774
3509304,sifilis,2035-06-01,0.3096889636441959,0.0,1.3786143272564055
3509403,sifilis,2030-06-01,0.7753413352822267,0.0,2.498977469426384
3509403,sifilis,2035-06-01,1.393467615535649,0.0,3.1018396155466275
3509452,sifilis,2030-06-01,0.5398025302598736,0.0,2.581321351230602
3509452,sifilis,2035-06-01,0.6372325390427632,0.0,2.703366331287591
3509502,sifilis,2030-06-01,0.3462866723680289,0.1543712536231667,0.5245126359062978
3509502,sifilis,2035-06-01,0.4039032056381542,0.2061737905111665,0.5952157250297713
