disease,cod_mun,mae,rmse,r2,n_samples
hepatite,3514205,0.00812532884877219,0.02962946357943503,0.9998646718929737,300
hepatite,3514304,4.310698261233853,5.982346080364399,0.07682850512631223,300
hepatite,3514403,0.552307534575958,0.9956877337651762,0.23396651662647383,300
hepatite,3514502,0.6397636947122829,1.5897919223260104,0.20088387847699551,300
hepatite,3514601,0.14105481588664945,0.868803833705495,0.003647414487236378,300
hepatite,3514700,0.6918729684286232,2.146164201393124,0.10146845178540387,300
hepatite,3514809,0.49795655291969515,1.239199810861295,0.16184772826564997,300
hepatite,3514908,0.04369659918782338,0.3697431403040089,0.004338755277339845,300
hepatite,3514924,0.28787698413052204,1.9916606142459186,0.6834856190073532,300
hepatite,3514957,15.400739429721568,25.197334868851733,0.2974789475524169,300
hepatite,3515004,0.14203228982695135,0.2285045289729616,0.3498308528180113,300
hepatite,3515103,0.1301788177079806,0.3393977825790111,0.20187835773687224,300
hepatite,3515129,1.0884851441913246,5.006529885334679,0.0013150914374319145,300
hepatite,3515152,0.773546365368073,1.7241410121746916,0.09046080410061785,300
hepatite,3515186,0.20752742246911465,0.49883351505550977,0.23447302129970282,300
hepatite,3515194,1.8030410280853568,4.4806691856646506,0.13852075927410068,300
hepatite,3515202,1.0876565357332624,2.660798778428589,0.19118849533944404,300
hepatite,3515301,1.675513936411905,5.122107423310739,0.14930748363533952,300
hepatite,3515350,4.073075108842307,6.686680547209166,0.18175761189240225,300
hepatite,3515400,0.48573648274321735,1.33936746494701,0.07123368952658937,300
hepatite,3515509,0.8533407137075756,1.162074375266607,0.19790612870151336,300
hepatite,3515608,0.5938755354426619,2.0584837680365733,0.21279223397403269,300
hepatite,3515657,0.9446669985590856,5.789026256616056,0.0010811342154690706,300
hepatite,3515707,0.11243206170774095,0.21868456128661298,0.44780161667903684,300
hepatite,3515806,3.0965401436833733,9.264168971533127,0.051141321229592696,300
hepatite,3515905,2.4313863214445863,7.3915229220255325,0.0043208066211812834,300
hepatite,3516002,3.0338741161250815,3.7752040163468488,0.07284743648718861,300
hepatite,3516101,11.284878608287254,17.845188126327443,0.1567368031674976,300
hepatite,3516200,0.15373135677031233,0.19476575438391294,0.09781649976565887,300
hepatite,3516309,0.17407914137424854,0.3144528918302358,0.40581066151145573,300
hepatite,3516408,0.2371467320906882,0.46133677159493564,0.3570091940124108,300
hepatite,3516507,3.5500724886342097,8.876224076959687,0.15343861062241704,300
hepatite,3516606,1.0678395444035493,2.579991130013429,0.08761559560084442,300
hepatite,3516705,0.4132600600276011,1.0187131389483706,0.4296028474516397,300
hepatite,3516804,2.366141076717011,6.288242448185957,0.11109431945227344,300
hepatite,3516853,1.5092799059211552,4.699009863611699,0.03725859580667801,300
hepatite,3516903,0.46822544867996463,1.5309438399002553,0.06954338112959568,300
hepatite,3517000,0.5532668917427414,1.722771043971601,0.23909371789541356,300
hepatite,3517109,0.4301299276126656,2.149112618613411,0.0026378711409565936,300
hepatite,3517208,1.6542104534737643,3.1224840185578193,0.3719145536244758,300
hepatite,3517307,1.643454874823898,4.119347396958222,0.054831771772630655,300
hepatite,3517406,0.6742131068828228,1.5205464138815474,0.2965985147320084,300
hepatite,3517505,0.5215855566268295,1.2254584303041893,0.009900082754700001,300
hepatite,3517604,0.743131172302932,1.3334355203422341,0.2630263018474568,300
hepatite,3517703,0.7771965734876035,1.678547574900356,0.1217478391561001,300
hepatite,3517802,0.3655210347765213,1.323664284309235,0.12231874697307776,300
hepatite,3517901,0.3913449653795105,1.39675307639522,8.813515044392428e-05,300
hepatite,3518008,5.610576061961883,11.388007882387273,0.08491121586050998,300
hepatite,3518107,2.7391702916358374,5.253982214147796,0.12614367165831475,300
hepatite,3518206,1.7700077116395914,3.076008282981793,0.15719010632239594,300
hepatite,3518305,1.507757931068575,2.2519497435875673,0.206054642447559,300
hepatite,3518404,0.2872251779940284,0.4878125311262914,0.148510992988669,300
hepatite,3518503,2.131608394485868,3.3944005189660946,0.25884585245398406,300
hepatite,3518602,3.28324159639937,4.617291498605285,0.4132642351972956,300
hepatite,3518701,0.12844803768950513,0.233355958071907,0.5054544698795483,300
hepatite,3518800,0.0678967020437021,0.11759235696999766,0.6241609859826058,300
hepatite,3518859,0.5399872121622065,1.8312241391056114,0.34105456215051155,300
hepatite,3518909,1.1687874589850185,3.624444640420013,0.0718672509824565,300
hepatite,3519006,5.00325560357071,6.4376671484565,0.22896684434299364,300
hepatite,3519055,0.217135818623521,1.239412906408576,0.000990536778372908,300
hepatite,3519071,0.111408133740505,0.23126026694867716,0.29627116619893257,300
hepatite,3519105,0.5372565886453466,1.6267004659607016,0.08157666709640632,300
hepatite,3519204,0.840342921870966,3.2083171611686856,0.6790386986731063,300
hepatite,3519253,1.1826693325589215,4.257089096083939,0.15335724833336206,300
hepatite,3519303,0.19748982463944562,0.6877505230171608,0.3453541585269091,300
hepatite,3519402,1.6763781874453105,3.2211171058713344,0.09663897787496478,300
