disease,cod_mun,mae,rmse,r2,n_train,n_test
TX_hanseniase_00_23,3517000,0.0697600245475769,0.0697600245475769,0.0,251,12
TX_hanseniase_00_23,3517109,2.0252552364030856,6.9841440606567105,-0.09022669147628837,251,12
TX_hanseniase_00_23,3517208,0.0015988487195196892,0.005485590164054743,0.0,251,12
TX_hanseniase_00_23,3517307,0.053287868485009916,0.1090122197097044,0.0,251,12
TX_hanseniase_00_23,3517406,0.32726358951179596,0.7276956220219186,-0.07344767008483588,251,12
TX_hanseniase_00_23,3517505,0.06460655480623245,0.06460655480623245,0.0,251,12
TX_hanseniase_00_23,3517604,0.0015874086772479739,0.0026150484467827514,0.0,251,12
TX_hanseniase_00_23,3517703,0.7824939092000326,0.8433330223762672,0.0,251,12
TX_hanseniase_00_23,3517802,0.1249946312357982,0.12499499826632286,0.0,251,12
TX_hanseniase_00_23,3517901,0.003171439292297388,0.0037572983983361168,0.0,251,12
TX_hanseniase_00_23,3518008,0.03013279102742672,0.030132984254757793,0.0,251,12
TX_hanseniase_00_23,3518107,0.018583314027637243,0.018593094490288987,0.0,251,12
TX_hanseniase_00_23,3518206,0.019288878771476448,0.06199121369438858,0.0,251,12
TX_hanseniase_00_23,3518305,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3518404,0.04860756918787956,0.04860756918787956,0.0,251,12
TX_hanseniase_00_23,3518503,0.015142844815272838,0.03321310502974932,0.0,251,12
TX_hanseniase_00_23,3518602,0.07763927057385445,0.07763951096833226,0.0,251,12
TX_hanseniase_00_23,3518701,0.20316173340578678,0.20806271158178125,-2.0169332236129067,251,12
TX_hanseniase_00_23,3518800,0.05452251931303545,0.0634738248807197,-0.38764065717494156,251,12
TX_hanseniase_00_23,3518859,1.4535973882229574,3.7881611288772508,-0.03845728992264141,251,12
TX_hanseniase_00_23,3518909,0.0039170370606977185,0.00411700701616074,0.0,251,12
TX_hanseniase_00_23,3519006,0.028571785039578874,0.05586249344647413,0.0,251,12
TX_hanseniase_00_23,3519055,0.05653270880187241,0.16943477728670095,0.0,251,12
TX_hanseniase_00_23,3519071,0.058209870010614395,0.058209870010614395,0.0,251,12
TX_hanseniase_00_23,3519105,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3519204,0.0486290417611599,0.0486290417611599,0.0,251,12
TX_hanseniase_00_23,3519253,0.028832202932486933,0.029069684697078577,0.0,251,12
TX_hanseniase_00_23,3519303,0.048637669533491135,0.048637669533491135,0.0,251,12
TX_hanseniase_00_23,3519402,0.006129624942938487,0.009500298301380956,0.0,251,12
TX_hanseniase_00_23,3519501,1.318954018121376,4.566727270080954,-0.09081609987914274,251,12
TX_hanseniase_00_23,3519600,0.03228067695939293,0.04332280446860235,0.0,251,12
TX_hanseniase_00_23,3519709,0.030535440271099407,0.03898189925762704,0.0,251,12
