disease,cod_mun,mae,rmse,r2,n_samples
sifilis,3510500,0.41646430966723064,0.6233298606080845,0.38421668651689234,300
sifilis,3510609,0.7359093444939561,1.1222087054750718,-1.0816842241847802,300
sifilis,3510708,0.48223690739033853,1.8096154966807918,0.04984132713750633,300
sifilis,3510807,0.14338892614594284,0.46988479067722366,0.019265489902229316,300
sifilis,3510906,0.2587181661138109,2.208485811297052,0.002202043198198611,300
sifilis,3511003,0.18205999357190145,0.8037943367557822,0.09567575141615858,300
sifilis,3511102,0.5348226648954127,0.8712225953086223,-0.1164742859435064,300
sifilis,3511201,0.7510028382683993,2.860367444333374,0.03812963595921448,300
sifilis,3511300,0.32219185321011956,1.71895571191034,0.13228363897201545,300
sifilis,3511409,0.37405363706522526,1.4595549647234045,0.0061092754789927595,300
sifilis,3511508,0.08197521425833766,0.3611958476953333,0.05610271166464176,300
sifilis,3511607,0.2358059337660166,1.0048529979258216,0.05295134003219748,300
sifilis,3511706,0.5311985727939924,1.4277824464814497,0.20227521287917116,300
sifilis,3511904,0.06800858784756354,0.701098572678816,0.2739847113854176,300
sifilis,3512001,0.4175932703583686,1.0482665012622139,0.04113989003134089,300
sifilis,3512100,0.4285172296828785,1.8489139437289663,0.007083773000900684,300
sifilis,3512209,0.34066706187617624,0.9916539027640467,0.06873384646165703,300
sifilis,3512308,0.2204935456848701,0.9070389240070554,0.05559563583312577,300
sifilis,3512407,0.21502022504585946,0.8539555311503522,0.03366163659707455,300
sifilis,3512506,0.23042534793735517,1.3963115125074597,0.003471750975736043,300
sifilis,3512605,0.5156521003284419,2.0431405787172334,0.1002516446093582,300
sifilis,3512704,0.09588287317860274,1.0757167934853464,0.2413476277570097,300
sifilis,3512803,0.5046550974530234,0.62186757778076,-0.2835617035692073,300
sifilis,3512902,0.35331603626827784,1.5641474326784408,0.0005914020954956856,300
sifilis,3513009,0.14957271449976564,0.2577877308809432,0.05802388727020791,300
sifilis,3513108,0.35221301791785614,1.02972439988923,0.06101245694196056,300
sifilis,3513207,0.4028514182263708,1.125699584888251,0.005890418478620818,300
sifilis,3513306,0.5165371100888334,2.672276034411948,0.1002016062849902,300
sifilis,3513405,0.2562300458624324,0.5853741492940345,0.16660752006577817,300
sifilis,3513504,0.7249010292707002,1.0540978388603621,-0.34564855762238667,300
sifilis,3513603,0.08730106638191115,0.4828024391084141,0.1857195031060762,300
sifilis,3513702,0.12080274334042064,0.4882587650576435,0.0062643258120458345,300
